REGION_ID,BUS COUNT,NUMBER OF READS                      ,SPEED,congestion
1,22.179399486998943,347.6288621770692,21.760622307161952,51.6430615396401
2,31.168333621190474,460.18419193267283,27.399207869489665,39.11287140113408
3,47.42887260611243,728.8359846083533,22.05837340960405,50.981392423102115
4,33.39697934761629,514.9817281091166,20.647312777455934,54.117082716764585
5,48.08367839613743,845.004620377624,23.37893683352185,48.04680703661812
6,42.59754032073485,726.1883516181699,21.65393914887809,51.88013522471535
7,40.90634436336185,643.0036172622043,21.131203447408367,53.04177011687029
8,65.66695103744554,1123.3880594741172,20.479217117090904,54.49062862868688
9,22.244994539497633,345.7209352351325,23.7034277062581,47.325716208315335
10,61.17246298749509,901.8059190892812,21.812755739304368,51.52720946821252
11,53.7116389756767,847.881668467311,21.363263643532406,52.52608079215021
12,46.469664648492646,559.5297863663457,18.426231138438176,59.052819692359606
13,74.4301568013118,1099.8422616868952,17.528969005753666,61.046735542769625
14,41.01759244932694,668.3112331734488,23.74989555933671,47.222454312585086
15,31.917708488736388,502.8787557809936,24.69334999254302,45.12588890545995
16,34.80767316878981,483.65396098726114,27.248203125000888,39.44843749999803
17,11.63545927023986,187.53531817613546,29.681921916021338,34.04017351995258
18,42.80371819100778,731.0967491466326,24.45187315958275,45.66250408981611
19,36.60620936518372,584.7754255241434,24.882798159106567,44.70489297976318
20,35.28710624262414,551.8438284867008,24.8277945047969,44.82712332267356
21,39.24606352170404,671.0926239496131,24.226005285563193,46.164432698748456
22,26.176634192331868,371.59989000628536,28.375697988685673,36.94289335847628
23,55.33651780010454,773.7974185492769,21.94535832510608,51.23253705531982
24,37.280683702930155,677.1590392530254,23.778911634622677,47.157974145282935
25,18.783268699996505,299.13300492610836,29.41105492086687,34.6421001758514
26,40.87844964492254,751.3654900668205,28.398052617387584,36.89321640580537
27,23.14888853854643,308.2088286299858,29.408054390664887,34.6487680207447
28,7.963592233009709,131.96155732078063,33.98077351181674,24.48716997374057
29,37.91472989676364,339.7886178861789,22.292704688288897,50.46065624824689
