,crash_count,red_light_camera_count,speed_camera_count
1,5106,2.0,1.0
2,7593,7.0,7.0
3,10364,10.0,10.0
4,5864,5.0,3.0
5,12253,15.0,16.0
6,9638,13.0,10.0
7,9184,14.0,3.0
8,11375,8.0,8.0
9,5991,3.0,3.0
10,12704,10.0,14.0
11,12721,9.0,8.0
12,8883,3.0,2.0
13,11287,4.0,2.0
14,8065,6.0,3.0
15,7097,1.0,7.0
16,5304,1.0,0.0
17,2575,0.0,0.0
18,15231,12.0,22.0
19,7873,4.0,3.0
20,6779,2.0,4.0
21,6466,2.0,3.0
22,4221,3.0,8.0
23,9771,6.0,6.0
24,6813,2.0,3.0
25,3656,1.0,5.0
26,7490,4.0,2.0
27,2660,1.0,4.0
28,1819,0.0,1.0
29,4850,1.0,3.0
